fold,rank1,rank2,rank3,n_train,n_val,val_mse,val_r2,fit_iterations,train_mse
4,6,3,1,318,79,5.725950091866,0.367009337237627,4000,6.45971836749409
5,6,3,1,318,79,7.75798902250816,0.283079730752496,4000,6.17792643370582
1,7,3,1,317,80,10.8526615255426,-0.00975523256849575,4000,4.4886610042379
2,7,3,1,317,80,10.7803496612599,0.00947286199215558,4000,6.20864851769201
3,7,3,1,318,79,8.43576481212126,0.157940690121159,4000,5.21665829170133
4,7,3,1,318,79,5.7541962056019,0.363886794084561,4000,6.45025714907712
5,7,3,1,318,79,7.76368322953883,0.282553525775184,4000,6.19283887892846
1,8,3,1,317,80,10.8872513914254,-0.0129735489222111,4000,4.49006903679111
2,8,3,1,317,80,10.8109322774926,0.00666285004620037,4000,6.19302955653634
3,8,3,1,318,79,8.37816866078235,0.163689946593841,4000,5.20571786982507
4,8,3,1,318,79,5.70106255145858,0.369760597804741,4000,6.41122847024461
5,8,3,1,318,79,7.74867934561403,0.283940043398748,4000,6.17128397856294
1,9,3,1,317,80,10.8943410697097,-0.0136331880096308,4000,4.48971550995748
2,9,3,1,317,80,10.8197539444762,0.00585229187097458,4000,6.19166206966971
3,9,3,1,318,79,8.38707082272477,0.162801331452403,4000,5.19538904290739
4,9,3,1,318,79,5.69663895777394,0.37024961595078,4000,6.4077991570114
5,9,3,1,318,79,7.76544363594715,0.282390845597037,4000,6.18553791177559
1,10,3,1,317,80,10.8979856329961,-0.0139722861046205,4000,4.49005699753993
2,10,3,1,317,80,10.8282325009249,0.00507325960231264,4000,6.19380027470002
3,10,3,1,318,79,8.405081329653,0.161003519947183,4000,5.20184631791518
4,10,3,1,318,79,5.71113619704017,0.368646979367483,4000,6.41132699425242
5,10,3,1,318,79,7.7789565547582,0.281142108925172,4000,6.19289052410558
1,1,4,1,317,80,11.5687275217973,-0.0763795702833292,4000,6.74927723721221
2,1,4,1,317,80,8.7968168779372,0.191725118435177,4000,7.66045055864123
3,1,4,1,318,79,9.42418079681256,0.0592768581534339,4000,7.11274497452553
4,1,4,1,318,79,5.88984794307367,0.348890805326451,4000,6.974435532292
5,1,4,1,318,79,7.57902093226604,0.299618275866551,4000,7.93690307031032
1,2,4,1,317,80,10.5125033483357,0.0218938240732521,4000,4.8624605636016
2,2,4,1,317,80,9.94225793765647,0.0864789538587488,4000,6.98703709758341
3,2,4,1,318,79,8.14386734619615,0.187077938987924,4000,5.40529852203828
4,2,4,1,318,79,5.07087737166463,0.439426125485022,4000,6.46794356694292
5,2,4,1,318,79,7.97357183130205,0.26315759824145,4000,7.36576307819681
1,3,4,1,317,80,10.8197951501086,-0.0066972735146742,4000,4.40539615589875
2,3,4,1,317,80,10.8466960389281,0.00337678072820757,4000,6.27356762499161
3,3,4,1,318,79,8.35568512899104,0.16593425611236,4000,5.30753824410604
4,3,4,1,318,79,5.68851365409139,0.371147849655343,4000,6.11196269552398
5,3,4,1,318,79,7.94640507772861,0.26566809371005,4000,6.29502350947091
1,4,4,1,317,80,10.8646763550684,-0.0108731184394895,4000,4.10600555543464
2,4,4,1,317,80,9.65338653862782,0.113021224668426,4000,5.23835321936553
3,4,4,1,318,79,8.57729878993949,0.143812747209001,4000,4.76985869799066
4,4,4,1,318,79,6.17964443757485,0.316854466871267,4000,6.15515581640218
5,4,4,1,318,79,7.93285677526772,0.266920100205538,4000,5.34096097805959
1,5,4,1,317,80,10.8975169795004,-0.0139286815640702,4000,4.09806715656602
2,5,4,1,317,80,9.86350367358263,0.0937151046562786,4000,5.23826090141353
