"loading_type","loading_label","roi_name","band_name","condition_name","roi_index","band_index","condition_index","fro_norm","delta_hat","sdest","ci_low","ci_high","excludes_zero","N","rank1","rank2","rank3","cv_mean_val_mse","cv_mean_val_r2","loading_normalization"
"single_element","posterior_left | beta2 | EC","posterior_left","beta2","EC","8","6","1","1","-208.102080424347","699.275246050575","-276.888228832704","-139.31593201599","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","posterior_left | gamma1 | EC","posterior_left","gamma1","EC","8","7","1","1","363.208897962709","886.707587399977","275.985447617236","450.432348308182","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","posterior_left | gamma2 | EC","posterior_left","gamma2","EC","8","8","1","1","-286.203774268213","721.582332734575","-357.184221107509","-215.223327428916","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","posterior_midline | delta | EC","posterior_midline","delta","EC","9","1","1","1","-52.8873217124378","125.809688125972","-65.2629405084967","-40.511702916379","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","posterior_left | beta1 | EO","posterior_left","beta1","EO","8","5","2","1","-247.000120411145","593.564196068253","-305.387708290504","-188.612532531787","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","posterior_left | beta2 | EO","posterior_left","beta2","EO","8","6","2","1","269.024106799565","717.69039027872","198.42650167085","339.62171192828","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","posterior_left | gamma1 | EO","posterior_left","gamma1","EO","8","7","2","1","-368.186802186084","932.652964326704","-459.929796922423","-276.443807449744","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","posterior_left | gamma2 | EO","posterior_left","gamma2","EO","8","8","2","1","286.359326539969","787.68889713379","208.876124204588","363.84252887535","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","posterior_midline | delta | EO","posterior_midline","delta","EO","9","1","2","1","49.8497786566951","151.609246492583","34.9363147693094","64.7632425440807","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","posterior_midline | theta | EC","posterior_midline","theta","EC","9","2","1","1","77.2446414521915","183.884400915017","59.1563425130248","95.3329403913582","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","posterior_midline | alpha1 | EC","posterior_midline","alpha1","EC","9","3","1","1","-18.1045437541062","113.333501665593","-29.2529078771577","-6.95617963105468","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","posterior_midline | alpha2 | EC","posterior_midline","alpha2","EC","9","4","1","1","21.9308055313582","107.645193165744","11.3419876454616","32.5196234172548","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","posterior_midline | beta1 | EC","posterior_midline","beta1","EC","9","5","1","1","-83.1136165007033","211.206758867366","-103.889554934606","-62.337678066801","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","posterior_midline | beta2 | EC","posterior_midline","beta2","EC","9","6","1","1","87.3401321510208","229.476926471581","64.7669980243393","109.913266277702","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","posterior_midline | theta | EO","posterior_midline","theta","EO","9","2","2","1","-71.0868984086291","185.360918533515","-89.3204390971744","-52.8533577200837","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
"single_element","posterior_midline | alpha1 | EO","posterior_midline","alpha1","EO","9","3","2","1","12.1920709496767","105.993706361582","1.76570614223112","22.6184357571222","1","397","2","5","2","8.33496316839579","0.193358413304605","frobenius"
